stop_name,stop_lat,stop_lon,Year,Transit,Incident,Delay_Count,Total_Delay_Min
1 Front St West - Union Station,43.646205,-79.377816,2026,Bus,General,3,32.0
1 St Clair Av East Entrance (Scotia Bank),43.687912,-79.393822,2024,Bus,Operations,1,203.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2014,Bus,Scheduling,1,30.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2017,Bus,Mechanical,2,35.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2020,Bus,Mechanical,1,9.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2020,Bus,Passenger,1,9.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2021,Bus,Collision,1,12.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2021,Bus,General,1,16.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2021,Bus,Mechanical,3,26.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2021,Bus,Operations,3,38.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2021,Bus,Passenger,1,30.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2022,Bus,Collision,3,34.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2022,Bus,Mechanical,2,32.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2022,Bus,Operations,5,47.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2023,Bus,General,1,15.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2023,Bus,Mechanical,10,124.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2023,Bus,Operations,4,29.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2024,Bus,Mechanical,3,46.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2024,Bus,Operations,2,139.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2024,Bus,Passenger,2,19.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2025,Bus,General,7,78.0
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2025,Subway,General,1,4
1 and 3 Concorde Pl North Side,43.728143,-79.328163,2026,Bus,General,4,31.0
10 Deauville Lane,43.717409,-79.331117,2017,Bus,Mechanical,1,5.0
10 Deauville Lane,43.717409,-79.331117,2017,Bus,Passenger,1,4.0
10 Deauville Lane,43.717409,-79.331117,2018,Bus,Passenger,1,10.0
10 Deauville Lane,43.717409,-79.331117,2020,Bus,Collision,1,1.0
10 Deauville Lane,43.717409,-79.331117,2021,Bus,Passenger,1,9.0
10 Deauville Lane,43.717409,-79.331117,2022,Bus,Operations,1,10.0
10 Deauville Lane,43.717409,-79.331117,2023,Bus,Cleaning,1,5.0
10 Deauville Lane,43.717409,-79.331117,2025,Bus,General,1,6.0
10 Disco Rd,43.701867,-79.592678,2018,Bus,Mechanical,2,34.0
10 Disco Rd,43.701867,-79.592678,2018,Bus,Passenger,1,20.0
10 Disco Rd,43.701867,-79.592678,2020,Bus,Passenger,1,13.0
10 Disco Rd,43.701867,-79.592678,2021,Bus,Mechanical,2,38.0
10 Disco Rd,43.701867,-79.592678,2024,Bus,Operations,1,20.0
10 Disco Rd,43.701867,-79.592678,2026,Bus,General,1,345.0
10 Gower St - Gower Park Place,43.702167,-79.297834,2016,Bus,General,1,12.0
10 Gower St - Gower Park Place,43.702167,-79.297834,2016,Bus,Scheduling,1,11.0
10 Gower St - Gower Park Place,43.702167,-79.297834,2017,Bus,Mechanical,2,16.0
10 Gower St - Gower Park Place,43.702167,-79.297834,2017,Bus,Passenger,2,25.0
10 Gower St - Gower Park Place,43.702167,-79.297834,2018,Bus,General,1,7.0
10 Gower St - Gower Park Place,43.702167,-79.297834,2018,Bus,Passenger,1,10.0
10 Gower St - Gower Park Place,43.702167,-79.297834,2020,Bus,Cleaning,1,11.0
10 Gower St - Gower Park Place,43.702167,-79.297834,2020,Bus,Mechanical,1,10.0
10 Gower St - Gower Park Place,43.702167,-79.297834,2022,Bus,Passenger,1,57.0
100 Bridgeland Ave,43.726123,-79.461155,2018,Bus,Mechanical,1,15.0
