Route,Year,Transit,Incident_Category,Delay_Count,Total_Delay_Min,active_in_2025,route_long_name,rank
1,2014,Subway,Cleaning,55,245.0,True,Yonge-University Line,1
1,2014,Subway,External,244,2436.0,True,Yonge-University Line,1
1,2014,Subway,General,297,1330.0,True,Yonge-University Line,1
1,2014,Subway,Infrastructure,275,2752.0,True,Yonge-University Line,1
1,2014,Subway,Management,27,141.0,True,Yonge-University Line,1
1,2014,Subway,Mechanical,543,2430.0,True,Yonge-University Line,1
1,2014,Subway,Operations,369,1667.0,True,Yonge-University Line,1
1,2014,Subway,Passenger,1138,7158.0,True,Yonge-University Line,1
1,2014,Subway,Scheduling,16,107.0,True,Yonge-University Line,1
1,2015,Subway,Cleaning,23,90.0,True,Yonge-University Line,1
1,2015,Subway,External,120,2172.0,True,Yonge-University Line,1
1,2015,Subway,General,219,1139.0,True,Yonge-University Line,1
1,2015,Subway,Infrastructure,174,1295.0,True,Yonge-University Line,1
1,2015,Subway,Management,3,24.0,True,Yonge-University Line,1
1,2015,Subway,Mechanical,350,1612.0,True,Yonge-University Line,1
1,2015,Subway,Operations,274,1191.0,True,Yonge-University Line,1
1,2015,Subway,Passenger,931,6057.0,True,Yonge-University Line,1
1,2015,Subway,Scheduling,12,68.0,True,Yonge-University Line,1
1,2016,Subway,Cleaning,76,294.0,True,Yonge-University Line,1
1,2016,Subway,External,93,1064.0,True,Yonge-University Line,1
1,2016,Subway,General,277,1195.0,True,Yonge-University Line,1
1,2016,Subway,Infrastructure,209,1824.0,True,Yonge-University Line,1
1,2016,Subway,Management,5,27.0,True,Yonge-University Line,1
1,2016,Subway,Mechanical,317,1495.0,True,Yonge-University Line,1
1,2016,Subway,Operations,340,1382.0,True,Yonge-University Line,1
1,2016,Subway,Passenger,1102,7763.0,True,Yonge-University Line,1
1,2016,Subway,Scheduling,9,46.0,True,Yonge-University Line,1
1,2017,Subway,Cleaning,48,196.0,True,Yonge-University Line,1
1,2017,Subway,External,64,580.0,True,Yonge-University Line,1
1,2017,Subway,General,303,1442.0,True,Yonge-University Line,1
1,2017,Subway,Infrastructure,171,1202.0,True,Yonge-University Line,1
1,2017,Subway,Management,15,53.0,True,Yonge-University Line,1
1,2017,Subway,Mechanical,356,1789.0,True,Yonge-University Line,1
1,2017,Subway,Operations,274,1310.0,True,Yonge-University Line,1
1,2017,Subway,Passenger,1132,7757.0,True,Yonge-University Line,1
1,2017,Subway,Scheduling,3,18.0,True,Yonge-University Line,1
1,2018,Subway,Cleaning,60,270.0,True,Yonge-University Line,1
1,2018,Subway,External,111,1506.0,True,Yonge-University Line,1
1,2018,Subway,General,659,3857.0,True,Yonge-University Line,1
1,2018,Subway,Infrastructure,262,2111.0,True,Yonge-University Line,1
1,2018,Subway,Management,17,99.0,True,Yonge-University Line,1
1,2018,Subway,Mechanical,409,2234.0,True,Yonge-University Line,1
1,2018,Subway,Operations,624,2959.0,True,Yonge-University Line,1
1,2018,Subway,Passenger,1458,10874.0,True,Yonge-University Line,1
1,2018,Subway,Scheduling,25,150.0,True,Yonge-University Line,1
1,2019,Subway,Cleaning,37,147.0,True,Yonge-University Line,1
1,2019,Subway,External,106,1256.0,True,Yonge-University Line,1
1,2019,Subway,General,893,4440.0,True,Yonge-University Line,1
1,2019,Subway,Infrastructure,222,2345.0,True,Yonge-University Line,1
1,2019,Subway,Management,6,24.0,True,Yonge-University Line,1
1,2019,Subway,Mechanical,452,2167.0,True,Yonge-University Line,1
1,2019,Subway,Operations,450,2365.0,True,Yonge-University Line,1
1,2019,Subway,Passenger,1384,10245.0,True,Yonge-University Line,1
1,2019,Subway,Scheduling,37,201.0,True,Yonge-University Line,1
1,2020,Subway,Cleaning,44,173.0,True,Yonge-University Line,1
1,2020,Subway,External,80,1221.0,True,Yonge-University Line,1
1,2020,Subway,General,702,4071.0,True,Yonge-University Line,1
1,2020,Subway,Infrastructure,166,2335.0,True,Yonge-University Line,1
1,2020,Subway,Management,15,76.0,True,Yonge-University Line,1
1,2020,Subway,Mechanical,321,1779.0,True,Yonge-University Line,1
1,2020,Subway,Operations,1253,5377.0,True,Yonge-University Line,1
1,2020,Subway,Passenger,1145,9316.0,True,Yonge-University Line,1
1,2020,Subway,Scheduling,18,110.0,True,Yonge-University Line,1
1,2021,Subway,Cleaning,165,682.0,True,Yonge-University Line,1
1,2021,Subway,External,53,618.0,True,Yonge-University Line,1
1,2021,Subway,General,876,5289.0,True,Yonge-University Line,1
1,2021,Subway,Infrastructure,452,3922.0,True,Yonge-University Line,1
1,2021,Subway,Management,17,109.0,True,Yonge-University Line,1
1,2021,Subway,Mechanical,333,1587.0,True,Yonge-University Line,1
1,2021,Subway,Operations,920,3740.0,True,Yonge-University Line,1
1,2021,Subway,Passenger,1491,12615.0,True,Yonge-University Line,1
1,2021,Subway,Scheduling,7,35.0,True,Yonge-University Line,1
1,2022,Subway,Cleaning,166,825.0,True,Yonge-University Line,1
1,2022,Subway,External,93,1470.0,True,Yonge-University Line,1
1,2022,Subway,General,1118,6551.0,True,Yonge-University Line,1
1,2022,Subway,Infrastructure,821,5158.0,True,Yonge-University Line,1
1,2022,Subway,Management,30,179.0,True,Yonge-University Line,1
1,2022,Subway,Mechanical,299,1778.0,True,Yonge-University Line,1
1,2022,Subway,Operations,664,3214.0,True,Yonge-University Line,1
1,2022,Subway,Passenger,1973,18290.0,True,Yonge-University Line,1
1,2022,Subway,Scheduling,14,89.0,True,Yonge-University Line,1
1,2023,Subway,Cleaning,167,780.0,True,Yonge-University Line,1
1,2023,Subway,External,107,1924.0,True,Yonge-University Line,1
1,2023,Subway,General,589,3842.0,True,Yonge-University Line,1
1,2023,Subway,Infrastructure,816,4886.0,True,Yonge-University Line,1
1,2023,Subway,Management,6,46.0,True,Yonge-University Line,1
1,2023,Subway,Mechanical,244,1542.0,True,Yonge-University Line,1
