trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
1473020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100111,shp-10-03,1
21967020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100111,shp-10-03,1
28622020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100112,shp-10-03,1
247020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100111,shp-10-03,1
38306020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100112,shp-10-03,1
339020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100112,shp-10-03,1
29337020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100111,shp-10-03,1
40118020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100111,shp-10-03,1
66872020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100111,shp-10-04,1
41389020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100111,shp-10-03,1
7657020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100112,shp-10-03,1
42542020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100112,shp-10-03,1
80375020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100112,shp-10-03,1
46554020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100111,shp-10-03,1
86064020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100112,shp-10-03,1
83696020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100112,shp-10-03,1
89765020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100112,shp-10-03,1
9051020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100111,shp-10-03,1
98525020,10,1,East - 10 Van Horne towards Victoria Park,"",1,100112,shp-10-03,1
76048020,10,1,Not In Service,"",0,100112,shp-10-51,1
19246020,10,1,Not In Service,"",0,100111,shp-10-51,1
38939020,10,1,Not In Service,"",1,100112,shp-10-01,1
36733020,10,1,Not In Service,"",1,100111,shp-10-02,1
4271020,10,1,West - 10 Van Horne towards Don Mills Station,"",0,100111,shp-10-52,1
37515020,10,1,West - 10 Van Horne towards Don Mills Station,"",0,100111,shp-10-52,1
40181020,10,1,West - 10 Van Horne towards Don Mills Station,"",0,100111,shp-10-52,1
14517020,10,1,West - 10 Van Horne towards Don Mills Station,"",0,100111,shp-10-52,1
39197020,10,1,West - 10 Van Horne towards Don Mills Station,"",0,100111,shp-10-52,1
81400020,10,1,West - 10 Van Horne towards Don Mills Station,"",0,100112,shp-10-52,1
26198020,10,1,West - 10 Van Horne towards Don Mills Station,"",0,100111,shp-10-52,1
67560020,10,1,West - 10 Van Horne towards Don Mills Station,"",0,100112,shp-10-52,1
25883020,10,1,West - 10 Van Horne towards Don Mills Station,"",0,100112,shp-10-52,1
85933020,10,1,West - 10 Van Horne towards Don Mills Station,"",0,100112,shp-10-52,1
